hhyu	っひゅ
hhye	っひぇ
hhyo	っひょ
ffa	っふぁ
ffi	っふぃ
ffu	っふ
ffe	っふぇ
ffo	っふぉ
ffya	っふゃ
ffyu	っふゅ
ffyo	っふょ
bba	っば
bbi	っび
bbu	っぶ
bbe	っべ
bbo	っぼ
bbya	っびゃ
bbyi	っびぃ
bbyu	っびゅ
bbye	っびぇ
bbyo	っびょ
ppa	っぱ
ppi	っぴ
ppu	っぷ
ppe	っぺ
ppo	っぽ
ppya	っぴゃ
ppyi	っぴぃ
ppyu	っぴゅ
ppye	っぴぇ
ppyo	っぴょ
mma	っま
mmi	っみ
mmu	っむ
mme	っめ
mmo	っも
mmya	っみゃ
mmyi	っみぃ
mmyu	っみゅ
mmye	っみぇ
mmyo	っみょ
yya	っや
yyu	っゆ
yyo	っよ
rra	っら
rri	っり
rru	っる
rre	っれ
rro	っろ
rrya	っりゃ
rryi	っりぃ
rryu	っりゅ
rrye	っりぇ
rryo	っりょ
wwa	っわ
wwi	っうぃ
wwu	っう
wwe	っうぇ
wwo	っを
wwyi	っゐ
wwye	っゑ
cca	っか
cci	っし
ccu	っく
cce	っせ
cco	っこ
ccya	っちゃ
ccyi	っちぃ
ccyu	っちゅ
ccye	っちぇ
ccyo	っちょ
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
tsa	つぁ
tsi	つぃ
tse	つぇ
tso	つぉ
tha	てゃ
thi	てぃ
t'i	てぃ
thu	てゅ
the	てぇ
tho	てょ
t'yu	てゅ
dha	でゃ
dhi	でぃ
d'i	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
d'yu	でゅ
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
t'u	とぅ
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
d'u	どぅ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
hwa	ふぁ
hwi	ふぃ
hwe	ふぇ
hwo	ふぉ
hwyu	ふゅ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
n'	ん
nn	ん
xn	ん
a	あ
i	い
u	う
wu	う
e	え
o	お
xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lyi	ぃ
xyi	ぃ
lye	ぇ
xye	ぇ
ye	いぇ
ka	か
ki	き
ku	く
ke	け
ko	こ
xka	ヵ
xke	ヶ
lka	ヵ
lke	ヶ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
su	す
se	せ
so	そ
ca	か
ci	し
cu	く
ce	せ
co	こ
qa	くぁ
qi	くぃ
qu	く
qe	くぇ
qo	くぉ
kwa	くぁ
kwi	くぃ
kwu	くぅ
kwe	くぇ
kwo	くぉ
gwa	ぐぁ
gwi	ぐぃ
gwu	ぐぅ
gwe	ぐぇ
gwo	ぐぉ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
ta	た
ti	ち
tu	つ
tsu	つ
te	て
to	と
da	だ
di	ぢ
du	づ
de	で
do	ど
xtu	っ
xtsu	っ
ltu	っ
ltsu	っ
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
xya	ゃ
lya	ゃ
ya	や
wyi	ゐ
xyu	ゅ
lyu	ゅ
yu	ゆ
wye	ゑ
xyo	ょ
lyo	ょ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
xwa	ゎ
lwa	ゎ
wa	わ
wi	うぃ
we	うぇ
wo	を
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
n-	んー
nva	んゔぁ
nvi	んゔぃ
nvu	んゔ
nve	んゔぇ
nvo	んゔぉ
nvya	んゔゃ
nvyi	んゔぃ
nvyu	んゔゅ
nvye	んゔぇ
nvyo	んゔょ
nqqa	んっくぁ
nqqi	んっくぃ
nqqu	んっく
nqqe	んっくぇ
nqqo	んっくぉ
nvva	んっゔぁ
nvvi	んっゔぃ
nvvu	んっゔ
nvve	んっゔぇ
nvvo	んっゔぉ
nvvya	んっゔゃ
nvvyi	んっゔぃ
nvvyu	んっゔゅ
nvvye	んっゔぇ
nvvyo	んっゔょ
nlla	んっぁ
nlli	んっぃ
nllu	んっぅ
nlle	んっぇ
nllo	んっぉ
nllya	んっゃ
nllyi	んっぃ
nllyu	んっゅ
nllye	んっぇ
nllyo	んっょ
nxxa	んっぁ
nxxi	んっぃ
nxxu	んっぅ
nxxe	んっぇ
nxxo	んっぉ
nxxya	んっゃ
nxxyi	んっぃ
nxxyu	んっゅ
nxxye	んっぇ
nxxyo	んっょ
nkka	んっか
nkki	んっき
nkku	んっく
nkke	んっけ
nkko	んっこ
nkkya	んっきゃ
nkkyi	んっきぃ
nkkyu	んっきゅ
nkkye	んっきぇ
nkkyo	んっきょ
ngga	んっが
nggi	んっぎ
nggu	んっぐ
ngge	んっげ
nggo	んっご
nggya	んっぎゃ
nggyi	んっぎぃ
nggyu	んっぎゅ
nggye	んっぎぇ
nggyo	んっぎょ
nssa	んっさ
nssi	んっし
nssu	んっす
nsse	んっせ
nsso	んっそ
nssya	んっしゃ
nssyi	んっしぃ
nssyu	んっしゅ
nssye	んっしぇ
nssyo	んっしょ
nzza	んっざ
nzzi	んっじ
nzzu	んっず
nzze	んっぜ
nzzo	んっぞ
nzzya	んっじゃ
nzzyi	んっじぃ
nzzyu	んっじゅ
nzzye	んっじぇ
nzzyo	んっじょ
njja	んっじゃ
njji	んっじ
njju	んっじゅ
njje	んっじぇ
njjo	んっじょ
njjya	んっじゃ
njjyi	んっじぃ
njjyu	んっじゅ
njjye	んっじぇ
njjyo	んっじょ
ntta	んった
ntti	んっち
nttu	んっつ
ntte	んって
ntto	んっと
nttya	んっちゃ
nttyi	んっちぃ
nttyu	んっちゅ
nttye	んっちぇ
nttyo	んっちょ
ndda	んっだ
nddi	んっぢ
nddu	んっづ
ndde	んっで
nddo	んっど
nddya	んっぢゃ
nddyi	んっぢぃ
nddyu	んっぢゅ
nddye	んっぢぇ
nddyo	んっぢょ
nhha	んっは
nhhi	んっひ
nhhu	んっふ
nhhe	んっへ
nhho	んっほ
nhhya	んっひゃ
nhhyi	んっひぃ
nhhyu	んっひゅ
nhhye	んっひぇ
nhhyo	んっひょ
nffa	んっふぁ
nffi	んっふぃ
nffu	んっふ
nffe	んっふぇ
nffo	んっふぉ
nffya	んっふゃ
nffyu	んっふゅ
nffyo	んっふょ
nbba	んっば
nbbi	んっび
nbbu	んっぶ
nbbe	んっべ
nbbo	んっぼ
nbbya	んっびゃ
nbbyi	んっびぃ
nbbyu	んっびゅ
nbbye	んっびぇ
nbbyo	んっびょ
nppa	んっぱ
nppi	んっぴ
nppu	んっぷ
nppe	んっぺ
nppo	んっぽ
nppya	んっぴゃ
nppyi	んっぴぃ
nppyu	んっぴゅ
nppye	んっぴぇ
nppyo	んっぴょ
nmma	んっま
nmmi	んっみ
nmmu	んっむ
nmme	んっめ
nmmo	んっも
nmmya	んっみゃ
nmmyi	んっみぃ
nmmyu	んっみゅ
nmmye	んっみぇ
nmmyo	んっみょ
nyya	んっや
nyyu	んっゆ
nyyo	んっよ
nrra	んっら
nrri	んっり
nrru	んっる
nrre	んっれ
nrro	んっろ
nrrya	んっりゃ
nrryi	んっりぃ
nrryu	んっりゅ
nrrye	んっりぇ
nrryo	んっりょ
nwwa	んっわ
nwwi	んっうぃ
nwwu	んっう
nwwe	んっうぇ
nwwo	んっを
nwwyi	んっゐ
nwwye	んっゑ
ncca	んっか
ncci	んっし
nccu	んっく
ncce	んっせ
ncco	んっこ
nccya	んっちゃ
nccyi	んっちぃ
nccyu	んっちゅ
nccye	んっちぇ
nnccyo	んっちょ
nkya	んきゃ
nkyi	んきぃ
nkyu	んきゅ
nkye	んきぇ
nkyo	んきょ
ngya	んぎゃ
ngyi	んぎぃ
ngyu	んぎゅ
ngye	んぎぇ
ngyo	んぎょ
nsya	んしゃ
nsyi	んしぃ
nsyu	んしゅ
nsye	んしぇ
nsyo	んしょ
nsha	んしゃ
nshi	んし
nshu	んしゅ
nshe	んしぇ
nsho	んしょ
nzya	んじゃ
nzyi	んじぃ
nzyu	んじゅ
nzye	んじぇ
nzyo	んじょ
ntya	んちゃ
ntyi	んちぃ
ntyu	んちゅ
ntye	んちぇ
ntyo	んちょ
ncha	んちゃ
nchi	んち
nchu	んちゅ
nche	んちぇ
ncho	んちょ
ncya	んちゃ
ncyi	んちぃ
ncyu	んちゅ
ncye	んちぇ
ncyo	んちょ
ndya	んぢゃ
ndyi	んぢぃ
ndyu	んぢゅ
ndye	んぢぇ
ndyo	んぢょ
ntsa	んつぁ
ntsi	んつぃ
ntse	んつぇ
ntso	んつぉ
ntha	んてゃ
nthi	んてぃ
nt'i	んてぃ
nthu	んてゅ
nthe	んてぇ
ntho	んてょ
nt'yu	んてゅ
ndha	んでゃ
ndhi	んでぃ
nd'i	んでぃ
ndhu	んでゅ
ndhe	んでぇ
ndho	んでょ
nd'yu	んでゅ
ntwa	んとぁ
ntwi	んとぃ
ntwu	んとぅ
ntwe	んとぇ
ntwo	んとぉ
nt'u	んとぅ
ndwa	んどぁ
ndwi	んどぃ
ndwu	んどぅ
ndwe	んどぇ
ndwo	んどぉ
nd'u	んどぅ
nhya	んひゃ
nhyi	んひぃ
nhyu	んひゅ
nhye	んひぇ
nhyo	んひょ
nbya	んびゃ
nbyi	んびぃ
nbyu	んびゅ
nbye	んびぇ
nbyo	んびょ
npya	んぴゃ
npyi	んぴぃ
npyu	んぴゅ
npye	んぴぇ
npyo	んぴょ
nfa	んふぁ
nfi	んふぃ
nfu	んふ
nfe	んふぇ
nfo	んふぉ
nfya	んふゃ
nfyu	んふゅ
nfyo	んふょ
nhwa	んふぁ
nhwi	んふぃ
nhwe	んふぇ
nhwo	んふぉ
nhwyu	んふゅ
nmya	んみゃ
nmyi	んみぃ
nmyu	んみゅ
nmye	んみぇ
nmyo	んみょ
nrya	んりゃ
nryi	んりぃ
nryu	んりゅ
nrye	んりぇ
nryo	んりょ
nxa	んぁ
nxi	んぃ
nxu	んぅ
nxe	んぇ
nxo	んぉ
nla	んぁ
nli	んぃ
nlu	んぅ
nle	んぇ
nlo	んぉ
nlyi	んぃ
nxyi	んぃ
nlye	んぇ
nxye	んぇ
nka	んか
nki	んき
nku	んく
nke	んけ
nko	んこ
nxka	んヵ
nxke	んヶ
nlka	んヵ
nlke	んヶ
nga	んが
ngi	んぎ
ngu	んぐ
nge	んげ
ngo	んご
nsa	んさ
nsi	んし
nsu	んす
nse	んせ
nso	んそ
nca	んか
nci	んし
ncu	んく
nce	んせ
nco	んこ
nqa	んくぁ
nqi	んくぃ
nqu	んく
nqe	んくぇ
nqo	んくぉ
nkwa	んくぁ
nkwi	んくぃ
nkwu	んくぅ
nkwe	んくぇ
nkwo	んくぉ
ngwa	んぐぁ
ngwi	んぐぃ
ngwu	んぐぅ
ngwe	んぐぇ
ngwo	んぐぉ
nza	んざ
nzi	んじ
nzu	んず
nze	んぜ
nzo	んぞ
nja	んじゃ
nji	んじ
nju	んじゅ
nje	んじぇ
njo	んじょ
njya	んじゃ
njyi	んじぃ
njyu	んじゅ
njye	んじぇ
njyo	んじょ
nta	んた
nti	んち
ntu	んつ
ntsu	んつ
nte	んて
nto	んと
nda	んだ
ndi	んぢ
ndu	んづ
nde	んで
ndo	んど
nxtu	んっ
nxtsu	んっ
nltu	んっ
nltsu	んっ
nha	んは
nhi	んひ
nhu	んふ
nhe	んへ
nho	んほ
nba	んば
nbi	んび
nbu	んぶ
nbe	んべ
nbo	んぼ
npa	んぱ
npi	んぴ
npu	んぷ
npe	んぺ
npo	んぽ
nma	んま
nmi	んみ
nmu	んむ
nme	んめ
nmo	んも
nxya	んゃ
nlya	んゃ
nwyi	んゐ
nxyu	んゅ
nlyu	んゅ
nwye	んゑ
nxyo	んょ
nlyo	んょ
nra	んら
nri	んり
nru	んる
nre	んれ
nro	んろ
nxwa	んゎ
nlwa	んゎ
nwa	んわ
nwi	んうぃ
nwe	んうぇ
nwo	んを
nwha	んうぁ
nwhi	んうぃ
nwhu	んう
nwhe	んうぇ
nwho	んうぉ
